word,freq,Ano
apacc,98.0,2013.0
reuniao,77.0,2013.0
conapac,66.0,2013.0
icmbio,52.0,2013.0
conselho,50.0,2013.0
conselheiros,41.0,2013.0
ambiental,36.0,2013.0
pesca,36.0,2013.0
plano,35.0,2013.0
plenaria,35.0,2013.0
proposta,35.0,2012.0
reuniao,32.0,2012.0
conselheiros,24.0,2012.0
conapac,22.0,2012.0
apa,19.0,2012.0
plano,19.0,2012.0
apacc,18.0,2012.0
icmbio,17.0,2012.0
conselho,14.0,2012.0
manejo,14.0,2012.0
icmbio,186.0,2020.0
plano,80.0,2020.0
limites,63.0,2020.0
conselho,60.0,2020.0
apacc,57.0,2020.0
processo,56.0,2020.0
manejo,56.0,2020.0
explica,48.0,2020.0
conselheiros,46.0,2020.0
pm,44.0,2020.0
conselho,115.0,2019.0
rio,69.0,2019.0
icmbio,69.0,2019.0
plano,66.0,2019.0
conselheiro,63.0,2019.0
pesca,61.0,2019.0
informou,61.0,2019.0
ana,52.0,2019.0
apa,47.0,2019.0
documento,47.0,2019.0
conselheiro,120.0,2018.0
presidente,107.0,2018.0
iran,99.0,2018.0
conselho,88.0,2018.0
normande,79.0,2018.0
conselheiros,52.0,2018.0
informa,49.0,2018.0
pesca,48.0,2018.0
conselheira,46.0,2018.0
rio,43.0,2018.0
conselheiro,189.0,2017.0
informa,109.0,2017.0
presidente,70.0,2017.0
conselheira,59.0,2017.0
ambiental,55.0,2017.0
plano,49.0,2017.0
trabalho,47.0,2017.0
analista,45.0,2017.0
apacc,42.0,2017.0
informou,42.0,2017.0
conselheiro,218.0,2016.0
informa,105.0,2016.0
presidente,103.0,2016.0
conselho,102.0,2016.0
reuniao,87.0,2016.0
apa,87.0,2016.0
projeto,82.0,2016.0
conselheiros,74.0,2016.0
apacc,71.0,2016.0
ct,69.0,2016.0
conapac,71.0,2015.0
conselheiro,63.0,2015.0
apa,60.0,2015.0
conselho,50.0,2015.0
secretaria,49.0,2015.0
conselheiros,47.0,2015.0
apacc,47.0,2015.0
informou,36.0,2015.0
reuniao,35.0,2015.0
costa,34.0,2015.0
conapac,83.0,2014.0
apacc,83.0,2014.0
conselheiros,63.0,2014.0
conselho,61.0,2014.0
reuniao,58.0,2014.0
secretaria,47.0,2014.0
gestao,41.0,2014.0
informou,37.0,2014.0
executiva,37.0,2014.0
plano,34.0,2014.0
conselheiros,30.0,2011.0
apacc,30.0,2011.0
conapac,27.0,2011.0
reuniao,24.0,2011.0
uc,18.0,2011.0
camara,18.0,2011.0
plano,17.0,2011.0
conselho,14.0,2011.0
apa,13.0,2011.0
necessidade,13.0,2011.0
